"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,859,176","+29,582","1,539,064",+133,"199,454,052","+25,137","13,866,060","15,561",,,,,,Asia
North America,"125,208,726","+15,395","1,617,657",+201,"120,624,878","+44,806","2,966,191","7,405",,,,,,North America
Europe,"247,208,625","+48,564","2,025,062",+320,"242,756,140","+51,467","2,427,423","6,461",,,,,,Europe
South America,"68,163,443","+5,842","1,351,595",+46,"66,345,336","+4,543","466,512","10,182",,,,,,South America
Oceania,"14,039,354",+6,"26,245",,"13,873,185",+6,"139,924",55,,,,,,Australia/Oceania
Africa,"12,803,958","+1,312","258,622",,"12,078,373",+27,"466,963",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"682,284,003","+100,701","6,818,260",+700,"655,132,670","+125,986","20,333,073","40,212","87,531",874.7,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,813,831","+10,922","1,151,160",+179,"103,411,591","+40,073","1,251,080","2,241","316,046","3,438","1,169,664,734","3,493,567","334,805,269",North America
India,"44,693,506",+796,"530,795",+5,"44,157,685",+388,"5,026",N/A,"31,773",377,"920,012,934","654,054","1,406,631,776",Asia
France,"39,683,382","+7,932","165,288",+24,"39,443,690","+3,893","74,404",869,"605,072","2,520","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,291,497","+7,680","169,579",+119,"37,919,700","+13,400","202,218",N/A,"456,484","2,022","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,145,514",,"699,634",,"36,249,161",,"196,719",N/A,"172,486","3,249","63,776,166","296,146","215,353,593",South America
Japan,"33,354,244","+7,715","73,391",+57,"21,706,012","+1,269","11,574,841",105,"265,591",584,"96,589,293","769,116","125,584,838",Asia
S. Korea,"30,672,163","+9,934","34,148",+17,"30,464,747","+9,202","173,268",146,"597,550",665,"15,804,065","307,892","51,329,899",Asia
Italy,"25,651,205","+3,483","188,750",+26,"25,320,467","+3,275","141,988",104,"425,656","3,132","269,127,054","4,465,893","60,262,770",Europe
UK,"24,423,396",,"208,458",,"24,143,100","+4,255","71,838",N/A,"356,557","3,043","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,467,942","+13,009","396,734",+38,"21,817,461","+11,360","253,747",N/A,"154,095","2,721","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,782,493",+671,"119,834",+36,"13,631,094",+969,"31,565",231,"295,007","2,565","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,527,099",+20,"43,186",,"10,614,835",+6,"869,078",5,"116,490",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,206,482","+9,062","18,656",+37,"9,980,131","+13,388","207,695",,"427,253",781,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,957",,"130,472",,"9,912,836",,"1,649",363,"218,320","2,836","35,716,069","776,264","46,010,234",South America
Netherlands,"8,605,518",+437,"22,992",,"8,564,112",+259,"18,414",53,"499,988","1,336","25,984,435","1,509,718","17,211,447",Europe
