"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,523,690","+17,476","1,537,604",+117,"199,166,111","+26,417","13,819,975","15,517",,,,,,Asia
North America,"124,750,163","+6,688","1,612,900",+58,"120,063,587","+38,374","3,073,676","7,888",,,,,,North America
Europe,"246,601,576","+22,701","2,019,556",+145,"242,171,422","+48,708","2,410,598","6,478",,,,,,Europe
South America,"68,050,921","+2,122","1,350,958",+17,"66,304,261","+2,978","395,702","10,185",,,,,,South America
Oceania,"14,027,245","+1,634","26,221",+3,"13,861,322","+1,281","139,702",55,,,,,,Australia/Oceania
Africa,"12,797,574","+1,003","258,593",,"12,076,693",+77,"462,288",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"680,751,890","+51,624","6,805,847",+340,"653,644,102","+117,835","20,301,941","40,671","87,334",873.1,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,409,318","+4,336","1,146,835",+21,"102,898,370","+33,674","1,364,113","2,724","314,838","3,425","1,167,729,364","3,487,787","334,805,269",North America
India,"44,688,367",+266,"530,775",,"44,154,622",+197,"2,970",N/A,"31,770",377,"919,232,902","653,499","1,406,631,776",Asia
France,"39,639,112",+953,"165,073",+43,"39,405,445","+5,692","68,594",869,"604,397","2,517","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,210,850",,"168,397",,"37,767,300","+17,500","275,153",N/A,"455,522","2,008","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,076,053",,"699,276",,"36,249,161",,"127,616",N/A,"172,164","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,264,491","+4,263","72,805",+34,"21,694,886","+1,551","11,496,800",131,"264,877",580,"95,651,487","761,648","125,584,838",Asia
S. Korea,"30,569,215","+4,300","34,034",+9,"30,363,195",,"171,986",145,"595,544",663,"15,804,065","307,892","51,329,899",Asia
Italy,"25,603,510",,"188,322",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770",Europe
UK,"24,370,154",,"206,952",,"24,106,232","+3,964","56,970",N/A,"355,780","3,021","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,353,291","+11,163","396,336",+38,"21,686,422","+9,166","270,533",N/A,"153,308","2,718","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,770,429",,"119,479",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,966",,"43,186",,"10,614,790",,"868,990",3,"116,489",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,112,117","+7,080","18,248",+45,"9,824,044","+20,441","269,825",,"423,303",764,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,125",,"130,463",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234",South America
Netherlands,"8,598,182",,"22,992",,"8,560,677",+381,"14,513",53,"499,562","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,570,743",+511,"144,902",+9,"7,339,796",+92,"86,045",354,"88,009","1,684","55,353,767","643,478","86,022,837",Asia
Mexico,"7,470,653",+525,"333,100",+4,"6,706,771","+2,912","430,782",N/A,"56,784","2,532","19,572,325","148,768","131,562,772",North America
Indonesia,"6,737,303",+144,"160,932",+2,"6,573,403",+218,"2,968",N/A,"24,136",577,"114,158,919","408,975","279,134,505",Asia
Poland,"6,432,765",+450,"118,952",,"5,335,940",,"977,873",696,"170,450","3,152","38,311,975","1,015,161","37,739,785",Europe
