"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,561,990","+38,030","1,537,710",+106,"199,199,895","+33,676","13,824,385","15,525",,,,,,Asia
North America,"124,788,233","+13,154","1,613,328",+138,"120,150,525","+86,938","3,024,380","7,731",,,,,,North America
Europe,"246,650,867","+37,461","2,019,983",+213,"242,225,510","+51,002","2,405,374","6,484",,,,,,Europe
South America,"68,053,347","+2,426","1,350,981",+23,"66,308,960","+4,699","393,406","10,186",,,,,,South America
Oceania,"14,027,246",+1,"26,221",,"13,861,322",,"139,703",55,,,,,,Australia/Oceania
Africa,"12,798,177",+603,"258,603",+10,"12,076,799",+106,"462,775",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"680,880,581","+91,675","6,806,841",+490,"653,823,717","+176,421","20,250,023","40,529","87,351",873.3,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,441,949","+7,715","1,147,217",+92,"102,974,679","+76,309","1,320,053","2,567","314,935","3,427","1,167,935,950","3,488,404","334,805,269",North America
India,"44,688,693",+326,"530,775",,"44,154,842",+220,"3,076",N/A,"31,770",377,"919,314,929","653,558","1,406,631,776",Asia
France,"39,639,112",,"165,073",,"39,405,402",,"68,637",869,"604,397","2,517","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,231,610","+9,947","168,709",+126,"37,788,200","+20,900","274,701",N/A,"455,770","2,011","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,076,053",,"699,276",,"36,249,161",,"127,616",N/A,"172,164","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,276,657","+12,014","72,840",+35,"21,695,714",+828,"11,508,103",124,"264,974",580,"95,732,132","762,291","125,584,838",Asia
S. Korea,"30,581,499","+12,284","34,049",+15,"30,374,622","+11,427","172,828",158,"595,783",663,"15,804,065","307,892","51,329,899",Asia
Italy,"25,603,510",,"188,322",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770",Europe
UK,"24,370,154",,"206,952",,"24,109,922","+3,690","53,280",N/A,"355,780","3,021","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,363,740","+10,449","396,378",+42,"21,700,795","+14,373","266,567",N/A,"153,380","2,719","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,770,429",,"119,479",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,986",+20,"43,186",,"10,614,802",+12,"868,998",3,"116,489",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,123,151","+11,032","18,282",+34,"9,843,853","+19,809","261,016",,"423,765",765,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,125",,"130,463",,"9,911,673","+1,807","1,989",363,"218,302","2,836","35,716,069","776,264","46,010,234",South America
Netherlands,"8,600,120","+1,154","22,992",,"8,561,110",+433,"16,018",53,"499,674","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,571,352",+609,"144,907",+5,"7,339,869",+73,"86,576",354,"88,016","1,685","55,353,767","643,478","86,022,837",Asia
Mexico,"7,475,219","+4,566","333,136",+36,"6,713,635","+6,864","428,448",N/A,"56,819","2,532","19,572,325","148,768","131,562,772",North America
Indonesia,"6,737,606",+303,"160,934",+2,"6,573,749",+346,"2,923",N/A,"24,137",577,"114,158,919","408,975","279,134,505",Asia
Poland,"6,437,594","+4,829","118,970",+18,"5,335,940",,"982,684",696,"170,578","3,152","38,325,163","1,015,511","37,739,785",Europe
Colombia,"6,360,089",,"142,629",,"6,183,658",,"33,802",342,"123,466","2,769","36,951,507","717,327","51,512,762",South America
Austria,"5,949,418","+5,958","21,941",+2,"5,872,733","+4,459","54,744",72,"656,183","2,420","211,273,524","23,302,116","9,066,710",Europe
Greece,"5,871,458",,"36,185",,"5,819,562","+2,618","15,711",115,"569,125","3,507","102,228,365","9,909,078","10,316,637",Europe
Portugal,"5,568,084",,"26,180",,"5,538,745",+671,"3,159",61,"549,090","2,582","45,994,869","4,535,728","10,140,570",Europe
Ukraine,"5,389,439",,"111,235",,"5,265,577",,"12,627",,"124,778","2,575","32,603,805","754,855","43,192,122",Europe
Chile,"5,184,582","+2,222","64,250",+3,"5,113,905","+2,592","6,427",86,"269,326","3,338","48,535,671","2,521,308","19,250,195",South America
Malaysia,"5,044,204",+226,"36,966",,"4,998,003",+202,"9,235",4,"152,021","1,114","68,268,320","2,057,448","33,181,072",Asia
Israel,"4,801,511",,"12,307",,"4,781,252",,"7,952",57,"514,852","1,320","41,373,364","4,436,346","9,326,000",Asia
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia
Thailand,"4,728,182",,"33,918",,"4,692,636",,"1,628",N/A,"67,470",484,"17,270,775","246,450","70,078,203",Asia
Belgium,"4,727,795",,"33,775",,"4,663,213",+793,"30,807",43,"405,184","2,895","36,752,058","3,149,741","11,668,278",Europe
Czechia,"4,615,945","+1,795","42,484",+3,"4,564,850",+984,"8,611",43,"429,919","3,957","57,026,205","5,311,293","10,736,784",Europe
Canada,"4,600,615",,"51,447",,"4,511,155","+2,971","38,013",99,"119,844","1,340","66,343,123","1,728,207","38,388,419",North America
Peru,"4,486,934",+102,"219,513",+20,"4,265,317",+41,"2,104",31,"133,206","6,517","38,095,743","1,130,967","33,684,208",South America
Switzerland,"4,391,007",,"14,452",,"4,373,026",,"3,529",39,"500,477","1,647","23,833,472","2,716,487","8,773,637",Europe
Philippines,"4,077,183",+87,"66,167",+7,"4,002,115",+106,"8,901",162,"36,239",588,"34,650,727","307,982","112,508,994",Asia
South Africa,"4,066,044",+187,"102,595",,"3,912,506",,"50,943",192,"66,924","1,689","26,795,090","441,027","60,756,135",Africa
Romania,"3,346,046",,"67,736",,"3,263,269",,"15,041",119,"175,818","3,559","26,750,616","1,405,609","19,031,335",Europe
Denmark,"3,175,655",+101,"8,285",+1,"3,166,474",+77,896,19,"544,247","1,420","129,205,099","22,143,309","5,834,950",Europe
Hong Kong,"2,883,762",+47,"13,466",,"2,862,998",+355,"7,298",28,"379,228","1,771","76,127,725","10,011,143","7,604,299",Asia
Sweden,"2,698,535",,"23,703",,"2,671,893",+108,"2,939",8,"264,071","2,320","19,477,620","1,906,026","10,218,971",Europe
Serbia,"2,498,315","+1,067","17,868",+4,"2,465,686",+870,"14,761",12,"288,722","2,065","12,450,776","1,438,894","8,653,016",Europe
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
Singapore,"2,230,570",,"1,722",,"2,149,583",,"79,265",1,"375,293",290,"24,756,666","4,165,302","5,943,546",Asia
New Zealand,"2,228,291",,"3,922",,"2,214,316",,"10,053",,"454,920",801,"7,768,604","1,586,011","4,898,203",Australia/Oceania
Hungary,"2,195,926",,"48,751",,"2,143,184",,"3,991",13,"228,593","5,075","11,394,556","1,186,160","9,606,259",Europe
Bangladesh,"2,037,829",,"29,445",,"1,998,448",,"9,936",N/A,"12,138",175,"15,254,399","90,862","167,885,689",Asia
Slovakia,"1,863,590",+171,"21,031",,"1,841,226",+104,"1,333",25,"341,305","3,852","7,406,819","1,356,512","5,460,193",Europe
Georgia,"1,825,598",,"16,965",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738",Asia
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
Ireland,"1,703,850",,"8,691",,"1,692,873",+10,"2,286",9,"339,399","1,731","13,037,474","2,597,003","5,020,199",Europe
Pakistan,"1,577,244",+30,"30,643",,"1,538,689",,"7,912",7,"6,873",134,"30,570,862","133,213","229,488,994",Asia
Norway,"1,479,392",+58,"5,213",,"1,473,421",+25,758,20,"268,425",946,"11,002,430","1,996,315","5,511,370",Europe
Finland,"1,462,976",,"8,936",,"1,452,331",+92,"1,709",21,"263,364","1,609","12,047,792","2,168,835","5,554,960",Europe
Kazakhstan,"1,408,124",,"13,846",,"1,383,020",,"11,258",24,"73,321",721,"11,575,012","602,707","19,205,043",Asia
Slovenia,"1,330,654",+656,"7,075",+1,"1,318,535",+77,"5,044",8,"640,343","3,405","2,839,966","1,366,660","2,078,034",Europe
Lithuania,"1,307,021",+634,"9,595",+1,"1,291,423",+373,"6,003",6,"491,046","3,605","10,385,652","3,901,875","2,661,708",Europe
Bulgaria,"1,297,358",+115,"38,222",+3,"1,256,083",+55,"3,053",26,"189,545","5,584","11,069,682","1,617,288","6,844,597",Europe
Morocco,"1,272,490",,"16,296",,"1,256,151",,43,3,"33,688",431,"12,992,640","343,969","37,772,756",Africa
Croatia,"1,269,326",,"17,987",,"1,250,890",,449,5,"312,697","4,431","5,521,987","1,360,335","4,059,286",Europe
Guatemala,"1,237,789",+214,"20,180",+2,"1,216,584",+234,"1,025",5,"66,605","1,086","6,963,247","374,690","18,584,039",North America
Lebanon,"1,232,517",,"10,840",,"1,087,587",,"134,090",74,"184,375","1,622","4,795,578","717,380","6,684,849",Asia
Costa Rica,"1,204,164",,"9,230",,"860,711",,"334,223",52,"232,358","1,781","4,659,757","899,158","5,182,354",North America
Bolivia,"1,194,069",+99,"22,365",,"1,159,564",+256,"12,140",220,"99,567","1,865","2,705,422","225,590","11,992,656",South America
Tunisia,"1,151,126",+164,"29,341",+10,N/A,N/A,N/A,44,"95,556","2,436","5,003,083","415,309","12,046,656",Africa
Cuba,"1,112,631",,"8,530",,"1,104,015",+4,86,,"98,414",754,"14,321,589","1,266,764","11,305,652",North America
Ecuador,"1,057,121",,"36,014",,"1,020,564",,543,759,"58,361","1,988","3,082,403","170,173","18,113,361",South America
UAE,"1,052,926",+142,"2,349",,"1,035,763",+76,"14,814",,"104,438",233,"199,362,311","19,774,505","10,081,785",Asia
Uruguay,"1,034,303",,"7,617",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016",South America
Panama,"1,031,731",,"8,609",,"1,022,524",,598,16,"232,008","1,936","7,548,346","1,697,416","4,446,964",North America
Mongolia,"1,007,897",,"2,179",,"1,005,716",,2,192,"298,364",645,"4,030,048","1,193,000","3,378,078",Asia
Nepal,"1,001,149",,"12,020",,"989,124",,5,,"33,123",398,"6,014,561","198,989","30,225,582",Asia
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe
Latvia,"976,188",+26,"6,250",+5,"969,587",+24,351,13,"528,001","3,381","7,866,007","4,254,570","1,848,837",Europe
Saudi Arabia,"829,955",+73,"9,618",+1,"817,079",+76,"3,258",40,"23,154",268,"45,167,469","1,260,080","35,844,909",Asia
Azerbaijan,"828,783",+53,"10,135",+6,"818,418",+32,230,,"80,463",984,"7,534,623","731,502","10,300,205",Asia
Paraguay,"808,401",,"19,878",,N/A,N/A,N/A,7,"110,651","2,721","2,657,506","363,751","7,305,843",South America
Bahrain,"709,858",+628,"1,553",+1,"706,013",,"2,292",3,"397,906",871,"10,746,441","6,023,847","1,783,983",Asia
Sri Lanka,"672,036",+2,"16,830",,"655,202",,4,,"31,148",780,"6,486,117","300,619","21,575,842",Asia
