"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,639,636","+33,519","1,538,079",+185,"199,258,450","+29,269","13,843,107","15,540",,,,,,Asia
North America,"124,904,822","+13,672","1,614,569",+170,"120,264,492","+34,558","3,025,761","7,553",,,,,,North America
Europe,"246,803,099","+34,025","2,021,573",+218,"242,342,410","+48,923","2,439,116","6,485",,,,,,Europe
South America,"68,072,879","+4,289","1,351,083",+20,"66,316,213","+3,248","405,583","10,182",,,,,,South America
Oceania,"14,027,545",+1,"26,221",,"13,861,740",+146,"139,584",55,,,,,,Australia/Oceania
Africa,"12,799,627",+451,"258,610",,"12,077,257",+25,"463,760",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"681,248,329","+85,957","6,810,150",+593,"654,121,268","+116,169","20,316,911","40,363","87,398",873.7,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,547,760","+8,964","1,148,391",+129,"103,083,830","+29,831","1,315,539","2,389","315,251","3,430","1,168,472,344","3,490,006","334,805,269",North America
India,"44,689,512",+440,"530,779",+3,"44,155,439",+320,"3,294",N/A,"31,771",377,"919,414,382","653,628","1,406,631,776",Asia
France,"39,639,112",,"165,073",,"39,413,395","+4,021","60,644",869,"604,397","2,517","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,249,060","+7,829","168,935",+127,"37,823,200","+16,700","256,925",N/A,"455,978","2,014","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,298,296","+9,834","72,989",+80,"21,697,743","+1,491","11,527,564",124,"265,146",581,"95,996,267","764,394","125,584,838",Asia
S. Korea,"30,605,187","+10,890","34,081",+20,"30,395,510","+10,262","175,596",143,"596,245",664,"15,804,065","307,892","51,329,899",Asia
Italy,"25,603,510",,"188,322",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770",Europe
UK,"24,396,534",,"207,695",,"24,120,105","+6,559","68,734",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,388,556","+12,496","396,463",+40,"21,729,768","+12,536","262,325",N/A,"153,550","2,719","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,770,429",,"119,479",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142",Europe
