"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,377,751","+21,797","1,536,827",50.0,"199,020,215","+31,624","13,820,709","15,485",,,,,,Asia
North America,"124,656,575",,"1,611,890",,"119,889,083","+1,530","3,155,602","7,681",,,,,,North America
Europe,"246,390,097","+18,589","2,017,639",68.0,"241,956,714","+36,714","2,415,744","6,489",,,,,,Europe
South America,"68,023,599",+248,"1,350,756",9.0,"66,282,690",+319,"390,153","10,190",,,,,,South America
Oceania,"13,996,345",,"26,116",,"13,834,566",,"135,663",64,,,,,,Australia/Oceania
Africa,"12,795,069",,"258,590",,"12,076,113",,"460,366",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"680,372,786","+111,075","6,803,002",668.0,"653,140,614","+135,806","20,429,170","40,472","87,285",872.8,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,384,017","+10,500","1,146,630",130.0,"102,790,152","+42,067","1,447,235","2,561","314,762","3,425","1,167,463,368","3,486,992","334,805,269",North America
India,"44,687,162",+283,"530,772",,"44,153,865",+197,"2,525",,"31,769",377,"918,891,634","653,257","1,406,631,776",Asia
France,"39,630,952","+4,196","165,009",21.0,"39,394,139","+3,341","71,804",869,"604,273","2,516","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,202,571","+12,617","168,296",121.0,"37,729,600","+13,900","304,675",,"455,424","2,006","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,066,791","+3,327","699,230",33.0,"36,241,001",,"126,560",,"172,121","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,230,544","+11,506","72,573",87.0,"21,687,770","+2,053","11,470,201",141,"264,606",578,"95,386,077","759,535","125,584,838",Asia
S. Korea,"30,533,573","+7,561","34,003",15.0,"30,316,211","+12,040","183,359",129,"594,850",662,"15,804,065","307,892","51,329,899",Asia
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770",Europe
UK,"24,341,615",,"206,246",,"24,094,535","+3,210","40,834",,"355,363","3,011","522,526,476","7,628,357","68,497,907",Europe
