"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,887,139","+27,963","1,539,195",+131,"199,474,428","+20,376","13,873,516","15,544",,,,,,Asia
North America,"125,219,277","+10,551","1,617,774",+117,"120,702,457","+77,579","2,899,046","7,425",,,,,,North America
Europe,"247,245,381","+36,756","2,025,275",+213,"242,798,794","+42,654","2,421,312","6,455",,,,,,Europe
South America,"68,168,452","+5,009","1,351,619",+24,"66,349,531","+4,195","467,302","10,179",,,,,,South America
Oceania,"14,039,429",+75,"26,245",,"13,873,278",+93,"139,906",55,,,,,,Australia/Oceania
Africa,"12,804,066",+108,"258,622",,"12,078,447",+74,"466,997",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"682,364,465","+80,462","6,818,745",+485,"655,277,641","+144,971","20,268,079","40,206","87,541",874.8,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,820,390","+6,559","1,151,253",+93,"103,485,147","+73,556","1,183,990","2,261","316,065","3,439","1,169,976,712","3,494,499","334,805,269",North America
India,"44,694,349",+843,"530,799",+4,"44,158,161",+476,"5,389",N/A,"31,774",377,"920,111,661","654,124","1,406,631,776",Asia
France,"39,690,610","+7,228","165,314",+26,"39,447,509","+3,819","77,787",869,"605,183","2,521","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,297,037","+5,540","169,661",+82,"37,931,300","+11,600","196,076",N/A,"456,550","2,023","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,145,514",,"699,634",,"36,249,161",,"196,719",N/A,"172,486","3,249","63,776,166","296,146","215,353,593",South America
Japan,"33,361,299","+7,055","73,439",+48,"21,706,932",+920,"11,580,928",96,"265,648",585,"96,671,539","769,771","125,584,838",Asia
S. Korea,"30,681,228","+9,065","34,155",+7,"30,468,756","+4,009","178,317",140,"597,726",665,"15,804,065","307,892","51,329,899",Asia
Italy,"25,651,205",,"188,750",,"25,320,467",,"141,988",104,"425,656","3,132","269,127,054","4,465,893","60,262,770",Europe
