"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,218,172","+40,328","1,536,158",163.0,"198,825,034","+48,813","13,856,980","15,525",,,,,,Asia
North America,"124,457,883","+3,224","1,609,932",22.0,"119,727,312","+39,206","3,120,639","7,752",,,,,,North America
Europe,"246,142,903","+26,187","2,016,380",59.0,"241,738,153","+30,708","2,388,370","6,468",,,,,,Europe
South America,"67,971,613","+5,524","1,350,389",28.0,"66,209,167","+4,552","412,057","10,188",,,,,,South America
Oceania,"13,987,204",+13,"26,076",,"13,826,303",+19,"134,825",64,,,,,,Australia/Oceania
Africa,"12,791,231",+53,"258,576",,"12,074,558",+33,"458,097",547,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"679,652,130","+76,626","6,798,385",278.0,"652,407,112","+124,507","20,446,633","40,544","87,193",872.2,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,248,611","+2,747","1,145,291",20.0,"102,605,010","+37,149","1,498,310","2,588","314,358","3,421","1,166,691,556","3,484,687","334,805,269",North America
India,"44,686,017",+218,"530,769",5.0,"44,153,099",+154,"2,149",,"31,768",377,"918,324,498","652,854","1,406,631,776",Asia
France,"39,612,797","+3,843","164,877",,"39,377,523","+2,603","70,397",869,"603,996","2,514","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,111,063",,"167,812",,"37,658,600","+3,800","284,651",,"454,333","2,001","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,023,465","+2,934","698,933",5.0,"36,185,975",,"138,557",,"171,919","3,246","63,776,166","296,146","215,353,593",South America
Japan,"33,172,567","+14,846","72,206",72.0,"21,680,804","+5,174","11,419,557",173,"264,145",575,"94,942,656","756,004","125,584,838",Asia
S. Korea,"30,489,666","+9,913","33,940",11.0,"30,245,452","+16,100","210,274",181,"593,994",661,"15,804,065","307,892","51,329,899",Asia
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770",Europe
UK,"24,341,615",,"206,246",,"24,078,331","+1,945","57,038",,"355,363","3,011","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,243,563","+11,071","396,004",34.0,"21,581,463","+11,208","266,096",,"152,556","2,716","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,,,,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,891",+10,"43,186",,"10,614,759",+4,"868,946",2,"116,488",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,366,361",,"19,373",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Argentina,"10,043,308",,"130,458",,"9,908,502",+456,"4,348",363,"218,284","2,835","35,716,069","776,264","46,010,234",Asia
Taiwan,"10,012,276","+13,526","17,818",53.0,"9,651,079","+22,934","343,379",,"419,124",746,"30,742,304","1,286,903","23,888,595",South America
Netherlands,"8,591,721",,"22,992",,"8,557,847",+280,"10,882",53,"499,186","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,567,619",+59,"144,835",3.0,"7,339,129",+57,"83,655",279,"87,972","1,684","55,034,937","639,771","86,022,837",Asia
Mexico,"7,443,151",,"332,938",,"6,680,289",,"429,924",,"56,575","2,531","19,551,137","148,607","131,562,772",North America
Indonesia,"6,735,451",+182,"160,905",3.0,"6,570,963",+167,"3,583",,"24,130",576,"114,158,919","408,975","279,134,505",Asia
