"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,254,266","+36,094","1,536,304",146.0,"198,880,434","+55,400","13,837,528","15,514",,,,,,Asia
North America,"124,553,800","+6,734","1,610,998",47.0,"119,744,597","+17,285","3,198,205","7,752",,,,,,North America
Europe,"246,170,589","+26,377","2,016,458",69.0,"241,766,229","+27,649","2,387,902","6,465",,,,,,Europe
South America,"67,975,681","+4,068","1,350,417",28.0,"66,212,573","+3,406","412,691","10,188",,,,,,South America
Oceania,"13,994,994","+1,301","26,110",5.0,"13,833,372","+1,190","135,512",64,,,,,,Australia/Oceania
Africa,"12,792,192",+766,"258,577",1.0,"12,074,584",+26,"459,031",547,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"679,721,225","+69,095","6,798,602",217.0,"652,510,018","+102,906","20,412,605","40,528","87,202",872.2,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,251,154","+2,543","1,145,293",2.0,"102,620,644","+15,634","1,485,217","2,588","314,365","3,421","1,166,740,145","3,484,832","334,805,269",North America
India,"44,686,202",+185,"530,770",1.0,"44,153,203",+104,"2,229",,"31,768",377,"918,535,118","653,003","1,406,631,776",Asia
France,"39,615,739","+2,942","164,877",,"39,378,241",+718,"72,621",869,"604,041","2,514","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,111,063",,"167,812",,"37,661,500","+2,900","281,751",,"454,333","2,001","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,024,417",+952,"698,934",1.0,"36,185,975",,"139,508",,"171,924","3,246","63,776,166","296,146","215,353,593",South America
Japan,"33,184,966","+12,399","72,268",62.0,"21,682,369","+1,565","11,430,329",172,"264,243",575,"94,989,804","756,380","125,584,838",Asia
S. Korea,"30,498,878","+9,212","33,946",6.0,"30,278,039","+32,587","186,893",181,"594,174",661,"15,804,065","307,892","51,329,899",Asia
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770",Europe
UK,"24,341,615",,"206,246",,"24,080,781","+2,450","54,588",,"355,363","3,011","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,253,137","+9,574","396,035",31.0,"21,591,237","+9,774","265,865",,"152,622","2,716","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,,,,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,901",+10,"43,186",,"10,614,760",+1,"868,955",3,"116,488",436,"85,826,548","867,342","98,953,541",Asia
