"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,786,467","+34,226","1,538,739",+106,"199,402,095","+28,523","13,845,633","15,572",,,,,,Asia
North America,"125,110,285","+17,412","1,616,495",+172,"120,523,839","+100,737","2,969,951","7,321",,,,,,North America
Europe,"247,019,651","+47,624","2,023,053",+271,"242,626,889","+74,999","2,369,709","6,452",,,,,,Europe
South America,"68,091,121","+2,932","1,351,202",+17,"66,335,727","+4,745","404,192","10,188",,,,,,South America
Oceania,"14,039,061",+1,"26,243",,"13,873,170",+1,"139,648",55,,,,,,Australia/Oceania
Africa,"12,802,223",+391,"258,615",+4,"12,078,307",+302,"465,301",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"681,849,529","+102,586","6,814,362",+570,"654,840,733","+209,307","20,194,434","40,136","87,475",874.2,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,724,850","+11,190","1,150,036",+142,"103,318,705","+96,339","1,256,109","2,157","315,780","3,435","1,169,358,245","3,492,652","334,805,269",North America
India,"44,691,956",+618,"530,789",+5,"44,156,970",+319,"4,197",N/A,"31,772",377,"919,816,389","653,914","1,406,631,776",Asia
France,"39,667,102","+9,937","165,240",+27,"39,435,335","+4,534","66,527",869,"604,824","2,519","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,276,190","+9,437","169,345",+123,"37,906,300","+38,200","200,545",N/A,"456,301","2,019","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,336,977","+10,011","73,273",+47,"21,704,201",+680,"11,559,503",115,"265,454",583,"96,341,369","767,142","125,584,838",Asia
S. Korea,"30,650,330","+11,401","34,121",+6,"30,445,638","+10,039","170,571",152,"597,124",665,"15,804,065","307,892","51,329,899",Asia
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770",Europe
UK,"24,396,534",,"207,695",,"24,134,621","+4,650","54,218",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,442,887","+9,526","396,664",+44,"21,792,012","+12,406","254,211",N/A,"153,923","2,720","273,400,000","1,875,095","145,805,947",Europe
