"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,752,187","+16,416","1,538,633",+95,"199,373,572","+20,552","13,839,982","15,545",,,,,,Asia
North America,"125,028,219","+5,519","1,615,421",+74,"120,423,925","+70,427","2,988,873","7,510",,,,,,North America
Europe,"246,956,287","+33,010","2,022,671",+317,"242,551,849","+53,496","2,381,767","6,454",,,,,,Europe
South America,"68,088,189","+3,203","1,351,185",+37,"66,330,982","+4,455","406,022","10,188",,,,,,South America
Oceania,"14,039,059","+1,646","26,243",+3,"13,873,169","+1,634","139,647",55,,,,,,Australia/Oceania
Africa,"12,801,832","+1,560","258,611",+1,"12,078,005",+602,"465,216",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"681,666,494","+61,354","6,812,779",+527,"654,632,208","+151,166","20,221,507","40,300","87,451",874.0,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,649,010","+3,324","1,148,993",+41,"103,223,189","+62,770","1,276,828","2,346","315,554","3,432","1,169,115,939","3,491,928","334,805,269",North America
India,"44,691,338",+402,"530,784",+2,"44,156,651",+306,"3,903",N/A,"31,772",377,"919,716,776","653,843","1,406,631,776",Asia
France,"39,657,165","+1,235","165,213",+50,"39,430,801","+5,774","61,151",869,"604,673","2,519","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,266,753","+10,750","169,222",+165,"37,868,100","+21,400","229,431",N/A,"456,189","2,017","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,326,890","+3,368","73,226",+27,"21,703,521",+995,"11,550,143",111,"265,374",583,"96,226,546","766,227","125,584,838",Asia
S. Korea,"30,638,929","+4,198","34,115",+12,"30,435,599",,"169,215",142,"596,902",665,"15,804,065","307,892","51,329,899",Asia
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770",Europe
UK,"24,396,534",,"207,695",,"24,129,971","+4,846","58,868",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,433,361","+10,268","396,620",+34,"21,779,606","+9,476","257,135",N/A,"153,858","2,720","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,778,467",,"119,618",,"13,624,507",,"34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,527,046",+9,"43,186",,"10,614,819",+1,"869,041",1,"116,489",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,177,165","+6,577","18,549",+37,"9,935,941","+17,211","222,675",,"426,026",776,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,957",,"130,472",,"9,911,664",,"2,821",363,"218,320","2,836","35,716,069","776,264","46,010,234",South America
Netherlands,"8,602,266",,"22,992",,"8,563,380",+396,"15,894",53,"499,799","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,573,328",,"144,956",,"7,340,279",,"88,093",407,"88,039","1,685","55,353,767","643,478","86,022,837",Asia
