"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,355,954","+41,975","1,536,777",171.0,"198,988,591","+37,259","13,830,586","15,499",,,,,,Asia
North America,"124,656,575","+19,523","1,611,890",177.0,"119,887,553","+66,330","3,157,132","7,679",,,,,,North America
Europe,"246,371,508","+56,965","2,017,571",195.0,"241,920,000","+55,072","2,433,937","6,491",,,,,,Europe
South America,"68,023,351","+15,280","1,350,747",144.0,"66,282,371","+9,846","390,233","10,192",,,,,,South America
Oceania,"13,996,345",+48,"26,116",,"13,834,566",+7,"135,663",64,,,,,,Australia/Oceania
Africa,"12,795,069",+766,"258,590",8.0,"12,076,115",+894,"460,364",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"680,200,062","+134,656","6,801,707",695.0,"652,989,984","+169,490","20,408,371","40,473","87,263",872.6,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,345,992","+13,828","1,146,142",158.0,"102,747,004","+64,605","1,452,846","2,515","314,649","3,423","1,167,210,022","3,486,236","334,805,269",North America
India,"44,686,879",+268,"530,772",,"44,153,668",+164,"2,439",,"31,769",377,"918,794,368","653,188","1,406,631,776",Asia
France,"39,626,756","+4,525","164,988",25.0,"39,390,798","+3,619","70,970",869,"604,209","2,516","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,189,954","+21,046","168,175",89.0,"37,715,700","+16,500","306,079",,"455,273","2,005","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,063,464","+10,528","699,197",110.0,"36,241,001","+5,672","123,266",,"172,105","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,219,038","+13,950","72,486",99.0,"21,685,717",+762,"11,460,835",160,"264,515",577,"95,253,685","758,481","125,584,838",Asia
S. Korea,"30,526,012","+12,291","33,988",11.0,"30,304,171","+12,649","187,853",145,"594,702",662,"15,804,065","307,892","51,329,899",Asia
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770",Europe
UK,"24,341,615",,"206,246",,"24,091,325","+3,456","44,044",,"355,363","3,011","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,285,908","+13,438","396,137",37.0,"21,631,409","+16,557","258,362",,"152,846","2,717","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,,,,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,926",+9,"43,186",,"10,614,777",+8,"868,963",2,"116,488",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,366,361",,"19,373",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,055,436","+12,209","17,975",27.0,"9,736,050","+20,872","301,411",,"420,930",752,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,125",,"130,463",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234",South America
