"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,735,443","+27,634","1,538,538",+116,"199,353,002","+38,426","13,843,903","15,558",,,,,,Asia
North America,"124,972,586","+9,311","1,615,028",+52,"120,353,498","+38,078","3,004,060","7,529",,,,,,North America
Europe,"246,922,982","+21,211","2,022,350",+49,"242,497,699","+29,165","2,402,933","6,451",,,,,,Europe
South America,"68,084,986","+3,942","1,351,148",+11,"66,326,527","+4,474","407,311","10,185",,,,,,South America
Oceania,"14,037,413","+1,644","26,240",+3,"13,871,535","+1,631","139,638",55,,,,,,Australia/Oceania
Africa,"12,800,272",+149,"258,610",,"12,077,403",+76,"464,259",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"681,554,403","+63,891","6,811,929",+231,"654,480,370","+111,850","20,262,104","40,326","87,437",873.9,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,602,997","+1,527","1,148,785",+5,"103,160,419","+31,778","1,293,793","2,365","315,416","3,431","1,168,689,987","3,490,656","334,805,269",North America
India,"44,690,936",+444,"530,782",+1,"44,156,345",+252,"3,809",N/A,"31,772",377,"919,671,930","653,811","1,406,631,776",Asia
France,"39,655,930","+4,558","165,163",,"39,425,027",+898,"65,740",869,"604,654","2,518","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,256,003",,"169,057",,"37,846,700","+3,000","240,246",N/A,"456,061","2,015","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,323,522","+7,013","73,199",+43,"21,702,526",+947,"11,547,797",107,"265,347",583,"96,226,546","766,227","125,584,838",Asia
S. Korea,"30,634,731","+9,342","34,103",+7,"30,435,606","+23,924","165,022",146,"596,820",664,"15,804,065","307,892","51,329,899",Asia
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770",Europe
UK,"24,396,534",,"207,695",,"24,125,125","+3,169","63,714",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,423,093","+11,985","396,586",+37,"21,770,130","+11,218","256,377",N/A,"153,787","2,720","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,778,467",,"119,618",,"13,624,507",,"34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,527,037",+4,"43,186",,"10,614,818",+1,"869,033",2,"116,489",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,170,588","+9,092","18,512",+39,"9,918,730","+11,999","233,346",,"425,751",775,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,957",,"130,472",,"9,911,664",,"2,821",363,"218,320","2,836","35,716,069","776,264","46,010,234",South America
Netherlands,"8,602,266",,"22,992",,"8,562,984",+544,"16,290",53,"499,799","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,573,328",,"144,956",,"7,340,279",,"88,093",407,"88,039","1,685","55,353,767","643,478","86,022,837",Asia
Mexico,"7,491,188","+7,744","333,235",+47,"6,723,772","+4,833","434,181",N/A,"56,940","2,533","19,642,771","149,303","131,562,772",North America
Indonesia,"6,739,067",+223,"160,948",+3,"6,574,788",+214,"3,331",N/A,"24,143",577,"114,158,919","408,975","279,134,505",Asia
Poland,"6,452,686",+479,"119,030",,"5,335,940",,"997,716",696,"170,978","3,154","38,369,088","1,016,675","37,739,785",Europe
Colombia,"6,360,780",,"142,639",,"6,184,346",,"33,795",342,"123,480","2,769","36,951,507","717,327","51,512,762",South America
Austria,"5,974,530","+3,384","21,995",,"5,900,699","+4,331","51,836",72,"658,952","2,426","211,273,524","23,302,116","9,066,710",Europe
Greece,"5,896,788",,"36,283",,"5,832,557","+2,619","27,948",115,"571,580","3,517","102,228,365","9,909,078","10,316,637",Europe
Portugal,"5,570,473",,"26,266",,"5,539,213",,"4,994",61,"549,325","2,590","45,994,869","4,535,728","10,140,570",Europe
Ukraine,"5,399,231",,"111,298",,"5,270,797",,"17,136",,"125,005","2,577","32,603,805","754,855","43,192,122",Europe
Chile,"5,203,532","+3,753","64,311",+10,"5,128,749","+4,092","10,472",87,"270,311","3,341","48,630,711","2,526,245","19,250,195",South America
Malaysia,"5,045,192",,"36,967",,"4,998,845",,"9,380",5,"152,050","1,114","68,309,333","2,058,684","33,181,072",Asia
Israel,"4,805,041",+358,"12,338",+9,"4,781,252",,"11,451",57,"515,231","1,323","41,373,364","4,436,346","9,326,000",Asia
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia
Belgium,"4,739,365",,"33,814",,"4,667,135",+792,"38,416",43,"406,175","2,898","36,797,565","3,153,641","11,668,278",Europe
Thailand,"4,728,182",,"33,918",,"4,692,636",,"1,628",N/A,"67,470",484,"17,270,775","246,450","70,078,203",Asia
Czechia,"4,620,287",+125,"42,504",,"4,568,947",+947,"8,836",40,"430,323","3,959","57,046,497","5,313,183","10,736,784",Europe
Canada,"4,600,615",,"51,447",,"4,516,723","+1,442","32,445",99,"119,844","1,340","66,343,123","1,728,207","38,388,419",North America
Peru,"4,488,139",+183,"219,563",+1,"4,266,122",+379,"2,454",34,"133,242","6,518","38,150,466","1,132,592","33,684,208",South America
Switzerland,"4,392,464",,"14,452",,"4,373,995",,"4,017",39,"500,643","1,647","23,833,472","2,716,487","8,773,637",Europe
Philippines,"4,077,904",+156,"66,210",+8,"4,002,577",+92,"9,117",162,"36,245",588,"34,689,841","308,329","112,508,994",Asia
South Africa,"4,067,453",,"102,595",,"3,912,506",,"52,352",192,"66,947","1,689","26,795,090","441,027","60,756,135",Africa
Romania,"3,346,046",,"67,736",,"3,267,395",,"10,915",119,"175,818","3,559","26,750,616","1,405,609","19,031,335",Europe
Denmark,"3,176,032",+70,"8,308",+4,"3,166,774",+105,950,19,"544,312","1,424","129,211,588","22,144,421","5,834,950",Europe
Hong Kong,"2,883,967",+31,"13,470",+2,"2,865,196",+468,"5,301",28,"379,255","1,771","76,127,725","10,011,143","7,604,299",Asia
Sweden,"2,699,339",,"23,749",,"2,672,645",+172,"2,945",8,"264,150","2,324","19,477,620","1,906,026","10,218,971",Europe
Serbia,"2,502,142",+488,"17,891",+3,"2,470,047","+1,013","14,204",14,"289,164","2,068","12,483,869","1,442,719","8,653,016",Europe
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
New Zealand,"2,238,156","+1,644","3,941",+3,"2,224,102","+1,631","10,113",,"456,934",805,"7,768,604","1,586,011","4,898,203",Australia/Oceania
Singapore,"2,234,996",,"1,722",,"2,149,583",,"83,691",1,"376,037",290,"24,756,666","4,165,302","5,943,546",Asia
Hungary,"2,196,804",,"48,762",,"2,143,788",,"4,254",14,"228,685","5,076","11,394,556","1,186,160","9,606,259",Europe
Bangladesh,"2,037,871",,"29,445",,"1,998,448",,"9,978",N/A,"12,138",175,"15,254,399","90,862","167,885,689",Asia
Slovakia,"1,864,120",+17,"21,042",+3,"1,841,721",+41,"1,357",25,"341,402","3,854","7,409,298","1,356,966","5,460,193",Europe
Georgia,"1,827,537",,"16,971",,"1,776,548",,"34,018",,"460,483","4,276","16,920,079","4,263,340","3,968,738",Asia
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
